,model,weight_g,weight_oz,OS,internal_memory,audio_jack,GPS,battery_mah,display_resolution_inches,screen_to_body_ratio_%,length_mm,width_mm,thickness_mm,GPU_new,brand_idx,GPS_new,primary_cam_MP,secondary_cam_MP,gprs,edge,sim,ppi,memory_card,battery_removable,indian_price,ram
0,Iconia Talk S,260.0,9.17,1,16.0,1,1,3400.0,7.0,69.8,191.7,101.0,9.4,3,1,1,13.0,2.0,1.0,1.0,2,225,128,0,12586.800000000001,8
1,Liquid Z6 Plus,169.0,5.96,1,32.0,1,1,4080.0,5.5,71.7,153.8,75.6,8.5,3,1,1,13.0,5.0,1.0,1.0,2,225,128,1,18510.0,8
4,Liquid X2,166.0,5.86,1,32.0,1,1,4020.0,5.5,69.0,153.3,78.8,8.5,3,1,1,13.0,13.0,1.0,1.0,3,410,128,1,17029.2,4
7,Liquid Zest,125.0,4.41,1,8.0,1,1,2000.0,5.0,66.4,145.7,71.2,8.4,3,1,1,8.0,5.0,1.0,1.0,2,210,128,1,8144.400000000001,6
9,Liquid Jade Primo,150.0,5.29,2,32.0,1,1,2870.0,5.5,70.2,156.5,75.9,8.4,1,1,1,21.0,8.0,1.0,1.0,2,410,128,0,16288.800000000001,6
10,Liquid Z330,142.0,5.01,1,8.0,1,1,2000.0,4.5,61.7,136.0,66.5,9.6,1,1,1,5.0,5.0,1.0,1.0,2,225,128,1,8144.400000000001,6
11,Liquid Z320,142.0,5.01,1,8.0,1,1,2000.0,4.5,61.7,136.0,66.5,9.6,1,1,1,5.0,2.0,1.0,1.0,2,390,128,1,6663.6,6
13,Liquid Z630,165.0,5.82,1,8.0,1,1,4000.0,5.5,68.8,156.3,77.5,8.9,3,1,1,8.0,8.0,1.0,1.0,2,210,128,1,14808.000000000002,6
15,Liquid Z530,145.0,5.11,1,8.0,1,1,2420.0,5.0,68.1,144.0,70.3,8.9,3,1,1,8.0,8.0,1.0,1.0,2,210,128,1,11106.000000000002,8
18,Iconia Tab 10 A3-A30,540.0,1.19,1,16.0,1,0,5910.0,10.1,64.6,260.0,176.0,9.7,0,1,1,5.0,2.0,0.0,0.0,1,390,128,0,18510.0,8
19,Iconia One 8 B1-820,355.0,12.52,1,16.0,1,1,4550.0,8.0,67.9,213.9,127.7,9.5,0,1,1,5.0,0.0,0.0,0.0,1,225,128,0,13327.2,4
20,Iconia Tab A3-A20,508.0,1.12,1,16.0,1,0,5910.0,10.1,67.8,256.5,170.2,10.2,3,1,1,5.0,2.0,0.0,0.0,1,410,128,0,14067.6,6
21,Iconia Tab A3-A20FHD,508.0,1.12,1,32.0,1,0,5910.0,10.1,67.8,256.5,170.2,10.2,3,1,1,5.0,2.0,0.0,0.0,1,225,128,0,17029.2,8
22,Liquid Jade Z,110.0,3.88,1,8.0,1,1,2300.0,5.0,68.8,143.5,69.8,8.0,3,1,1,13.0,5.0,1.0,1.0,2,210,128,0,14808.000000000002,4
23,Liquid Z520,118.0,4.16,1,8.0,1,1,2000.0,5.0,57.1,154.0,86.0,6.4,3,1,1,8.0,2.0,1.0,1.0,2,225,128,1,9625.2,4
24,Liquid Z220,120.0,4.23,1,8.0,1,1,1300.0,4.0,56.8,125.3,64.0,9.6,1,1,1,5.0,2.0,1.0,1.0,2,410,128,1,6663.6,8
25,Liquid M220,119.0,4.2,2,4.0,1,1,1300.0,4.0,57.0,124.9,64.0,9.6,1,1,1,5.0,2.0,1.0,1.0,2,390,128,1,5923.200000000001,6
26,Liquid Z410,145.0,5.11,1,8.0,1,1,2000.0,4.5,61.5,136.0,66.7,9.9,3,1,1,5.0,2.0,1.0,1.0,2,210,128,1,9625.2,4
27,Liquid Jade S,116.0,4.09,1,16.0,1,1,2300.0,5.0,69.8,143.0,69.0,7.8,3,1,1,13.0,5.0,1.0,1.0,2,410,128,0,14808.000000000002,4
28,Liquid Z500,150.0,5.29,1,4.0,1,1,2000.0,5.0,65.1,145.0,73.0,8.8,3,1,1,8.0,2.0,1.0,1.0,2,410,128,0,11106.000000000002,4
29,Liquid X1,164.0,5.78,1,16.0,1,1,2700.0,5.7,72.7,153.3,80.4,8.5,3,1,1,13.0,2.0,1.0,1.0,1,390,128,1,19250.4,8
30,Liquid Jade,110.0,3.88,1,8.0,1,1,2100.0,5.0,71.1,140.5,69.0,7.5,3,1,1,13.0,2.0,1.0,1.0,2,410,128,0,13327.2,4
31,Liquid E700,155.0,5.47,1,16.0,1,1,3500.0,5.0,64.1,147.3,73.0,9.9,3,1,1,8.0,2.0,1.0,1.0,3,410,128,0,14808.000000000002,6
32,Liquid E600,155.0,5.47,1,4.0,1,1,2500.0,5.0,65.1,147.0,72.0,9.5,1,1,1,8.0,2.0,1.0,1.0,1,210,128,0,14808.000000000002,8
33,Liquid Z200,130.0,4.59,1,4.0,1,1,1300.0,4.0,55.6,126.0,65.0,10.3,3,1,1,2.0,0.0,1.0,1.0,2,210,128,1,6663.6,4
34,Iconia Tab 8 A1-840FHD,360.0,12.7,1,16.0,1,1,4600.0,8.0,66.4,215.0,130.0,8.5,2,1,1,5.0,2.0,0.0,0.0,1,390,128,0,14808.000000000002,8
40,Liquid Z4,122.0,4.3,1,4.0,1,0,1630.0,4.0,57.4,124.0,64.0,9.7,3,1,0,5.0,1.3,1.0,1.0,2,390,128,1,7404.000000000001,8
