product_name,streaming_service,operating_system,resolution,audio_output,refresh_rate ,external_port,price,Rating, confirmed_buyer
Sony Bravia W622G 80cm (32 inch) HD Ready LED Smart TV,Netflix|Youtube,Operating System: Linux based,HD Ready 1366 x 768 Pixels,30 W Speaker Output,50 Hz Refresh Rate,2 x HDMI | 2 x USB,₹25999,4.5,42 Ratings & 6 Reviews
Samsung The Frame 138cm (55 inch) Ultra HD (4K) QLED Smart TV,Netflix|Prime Video|Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,40 W Speaker Output,120 Hz Refresh Rate,4 x HDMI | 3 x USB,₹84999,4.6,250 Ratings & 60 Reviews
Samsung Super 6 108cm (43 inch) Ultra HD (4K) LED Smart TV,Netflix|Prime Video|Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 1 x USB,₹36999,4.5,3,044 Ratings & 459 Reviews
LG All-in-One 108cm (43 inch) Full HD LED Smart TV 2019 Edition,Netflix|Prime Video|Hotstar|Youtube,Operating System: WebOS,Full HD 1920 x 1080 Pixels,20 W Speaker Output,50 Hz Refresh Rate,2 x HDMI | 1 x USB,₹31499,4.4,142 Ratings & 13 Reviews
Sony Bravia W622F 80cm (32 inch) HD Ready LED Smart TV,Netflix|Prime Video|Youtube,Operating System: Linux based,HD Ready 1366 x 768 Pixels,30 W Speaker Output,50 Hz Refresh Rate,2 x HDMI | 2 x USB,₹25147,4.4,954 Ratings & 143 Reviews
LG 108cm (43 inch) Ultra HD (4K) LED Smart TV 2018 Edition,Netflix|Youtube,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,50 Hz Refresh Rate,3 x HDMI | 2 x USB,₹35999,4.5,2,961 Ratings & 465 Reviews
Samsung Super 6 125cm (50 inch) Ultra HD (4K) LED Smart TV,Netflix|Prime Video|Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 1 x USB,₹47999,4.5,3,044 Ratings & 459 Reviews
LG All-in-One 126cm (50 inch) Ultra HD (4K) LED Smart TV 2019 Edition,Netflix|Prime Video|Hotstar|Youtube,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,50 Hz Refresh Rate,3 x HDMI | 3 x USB,₹46999,4.4,102 Ratings & 9 Reviews
Samsung Super 6 138cm (55 inch) Ultra HD (4K) LED Smart TV,Netflix|Prime Video|Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 1 x USB,₹52999,4.5,3,044 Ratings & 459 Reviews
Samsung 108cm (43 inch) Full HD LED Smart TV 2018 Edition,Netflix|Prime Video|Hotstar|Youtube,Operating System: Tizen,Full HD 1920 x 1080 Pixels,40 W Speaker Output,50 Hz Refresh Rate,2 x HDMI | 1 x USB,₹35999,4.5,1,907 Ratings & 310 Reviews
Sony Bravia W662F 108cm (43 inch) Full HD LED Smart TV,Netflix|Prime Video,Operating System: Linux based,Full HD 1920 x 1080 Pixels,10 W Speaker Output,50 Hz Refresh Rate,2 x HDMI | 2 x USB,₹43164,4.5,881 Ratings & 134 Reviews
LG 80cm (32 inch) HD Ready LED Smart TV,Netflix|Youtube,Operating System: WebOS,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,1 x HDMI | 1 x USB,₹25999,4.4,10,863 Ratings & 1,603 Reviews
Samsung 123cm (49 inch) Full HD LED Smart TV 2018 Edition,Netflix|Prime Video|Hotstar|Youtube,Operating System: Tizen,Full HD 1920 x 1080 Pixels,40 W Speaker Output,50 Hz Refresh Rate,2 x HDMI | 1 x USB,₹39999,4.5,449 Ratings & 56 Reviews
LG 123cm (49 inch) Ultra HD (4K) LED Smart TV 2018 Edition,Netflix|Youtube,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,₹45999,4.5,2,961 Ratings & 465 Reviews
LG 108cm (43 inch) Ultra HD (4K) LED Smart TV,Netflix|Hotstar|Youtube,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,70 W Speaker Output,50 Hz Refresh Rate,3 x HDMI | 2 x USB,₹41738,4.7,9 Ratings & 0 Reviews
Sony Bravia W672G 108cm (43 inch) Full HD LED Smart TV,Netflix|Youtube,Operating System: Linux based,Full HD 1920 x 1080 Pixels,20 W Speaker Output,50 Hz Refresh Rate,2 x HDMI | 2 x USB,₹39750,4.6,14 Ratings & 3 Reviews
LG 139cm (55 inch) Ultra HD (4K) LED Smart TV 2019 Edition,Netflix|Hotstar|Youtube,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,50 Hz Refresh Rate,4 x HDMI | 3 x USB,₹56713,4.6,29 Ratings & 5 Reviews
Sony Bravia W800F 108cm (43 inch) Full HD LED Smart Android TV,Netflix|Prime Video|Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,10 W Speaker Output,50 Hz Refresh Rate,4 x HDMI | 3 x USB,₹46999,4.5,266 Ratings & 36 Reviews
Sony Bravia W672G 80.1cm (32 inch) Full HD LED Smart TV,Netflix|Prime Video|Youtube,Operating System: Linux based,Full HD 1920 x 1080 Pixels,20 W Speaker Output,50 Hz Refresh Rate,2 x HDMI | 2 x USB,₹31999,4.4,70 Ratings & 11 Reviews
LG 109.22cm (43 inch) Ultra HD (4K) LED Smart TV,Netflix|Hotstar|Youtube,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,40 W Speaker Output,50 Hz Refresh Rate,3 x HDMI | 2 x USB,₹38588,4.7,3 Ratings & 0 Reviews
Sony Bravia X7002F 123.2cm (49 inch) Ultra HD (4K) LED Smart TV,Netflix|Prime Video|Youtube,Operating System: Linux based,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,50 Hz Refresh Rate,3 x HDMI | 3 x USB,₹59999,4.6,69 Ratings & 4 Reviews
Samsung Series 4 80cm (32 inch) HD Ready LED Smart TV,Netflix|Hotstar|Youtube,Operating System: Tizen,HD Ready 1366 x 768 Pixels,40 W Speaker Output,50 Hz Refresh Rate,2 x HDMI | 1 x USB,₹25000,4.3,161 Ratings & 16 Reviews
product_name,streaming_service,operating_system,resolution,audio_output,refresh_rate ,external_port,price,Rating, confirmed_buyer
LG 108cm (43 inch) Full HD LED Smart TV 2019 Edition,Netflix|Prime Video|Hotstar|Youtube,Operating System: WebOS,Full HD 1920 x 1080 Pixels,20 W Speaker Output,50 Hz Refresh Rate,3 x HDMI | 2 x USB,₹36999,4.4,8 Ratings & 2 Reviews
Samsung Series 5 108cm (43 inch) Full HD LED Smart TV,Netflix|Hotstar|Youtube,Operating System: Tizen,Full HD 1920 x 1080 Pixels,40 W Speaker Output,50 Hz Refresh Rate,2 x HDMI | 1 x USB,₹43999,4.1,34 Ratings & 7 Reviews
